The bigram counts for the sentence "<s> mark antony shall say i am not well and for thy humor i will stay at home </s>"
                 <s>      mark    antony     shall       say         i        am       not      well       and       for       thy     humor         i      will      stay        at      home      </s>
       <s>         0         3         1         7         1       119         5         4         5        35        12         4         0       119         6         1         1         0         0
      mark         0         0        13         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0
    antony         0         0         0         4         0         0         0         0         0         6         1         0         0         0         0         0         0         0        22
     shall         0         0         0         0         3         8         0        10         0         0         0         0         0         8         0         1         0         0         0
       say         0         0         0         0         0         6         0         0         0         1         0         0         0         6         0         0         0         0         3
         i         0         0         0        15         7         0        48         3         0         6         0         0         0         0        50         0         1         0         2
        am         0         0         0         0         0         8         0         5         0         0         0         0         0         8         0         0         0         0         1
       not         0         0         0         0         0         2         0         0         4         0         4         0         1         2         0         0         0         0        16
      well         0         0         0         0         0         2         0         0         0         3         1         0         0         2         0         0         1         0         7
       and         0         0         0         0         2        24         1         6         1         0         9         1         0        24         4         0         1         0         0
       for         0         0         2         0         0        12         0         0         0         0         0         1         0        12         0         0         0         0         6
       thy         0         0         1         0         0         0         0         0         0         0         0         0         1         0         0         0         0         0         0
     humor         0         0         0         0         0         1         0         0         0         0         0         0         0         1         0         0         0         0         0
         i         0         0         0        15         7         0        48         3         0         6         0         0         0         0        50         0         1         0         2
      will         0         0         0         1         0         8         0        13         1         2         0         0         0         8         0         2         0         0         5
      stay         0         0         0         0         0         0         0         1         0         1         1         0         0         0         0         0         3         0         1
        at         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         4         1
      home         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         3
      </s>         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0

The bigram probabilities for the sentence "<s> mark antony shall say i am not well and for thy humor i will stay at home </s>"
                 <s>      mark    antony     shall       say         i        am       not      well       and       for       thy     humor         i      will      stay        at      home      </s>
       <s>  0.000000  0.001387  0.000462  0.003236  0.000462  0.055016  0.002312  0.001849  0.002312  0.016181  0.005548  0.001849  0.000000  0.055016  0.002774  0.000462  0.000462  0.000000  0.000000
      mark  0.000000  0.000000  1.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
    antony  0.000000  0.000000  0.000000  0.053333  0.000000  0.000000  0.000000  0.000000  0.000000  0.080000  0.013333  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.293333
     shall  0.000000  0.000000  0.000000  0.000000  0.024000  0.064000  0.000000  0.080000  0.000000  0.000000  0.000000  0.000000  0.000000  0.064000  0.000000  0.008000  0.000000  0.000000  0.000000
       say  0.000000  0.000000  0.000000  0.000000  0.000000  0.162162  0.000000  0.000000  0.000000  0.027027  0.000000  0.000000  0.000000  0.162162  0.000000  0.000000  0.000000  0.000000  0.081081
         i  0.000000  0.000000  0.000000  0.028302  0.013208  0.000000  0.090566  0.005660  0.000000  0.011321  0.000000  0.000000  0.000000  0.000000  0.094340  0.000000  0.001887  0.000000  0.003774
        am  0.000000  0.000000  0.000000  0.000000  0.000000  0.140351  0.000000  0.087719  0.000000  0.000000  0.000000  0.000000  0.000000  0.140351  0.000000  0.000000  0.000000  0.000000  0.017544
       not  0.000000  0.000000  0.000000  0.000000  0.000000  0.007874  0.000000  0.000000  0.015748  0.000000  0.015748  0.000000  0.003937  0.007874  0.000000  0.000000  0.000000  0.000000  0.062992
      well  0.000000  0.000000  0.000000  0.000000  0.000000  0.041667  0.000000  0.000000  0.000000  0.062500  0.020833  0.000000  0.000000  0.041667  0.000000  0.000000  0.020833  0.000000  0.145833
       and  0.000000  0.000000  0.000000  0.000000  0.003190  0.038278  0.001595  0.009569  0.001595  0.000000  0.014354  0.001595  0.000000  0.038278  0.006380  0.000000  0.001595  0.000000  0.000000
       for  0.000000  0.000000  0.011364  0.000000  0.000000  0.068182  0.000000  0.000000  0.000000  0.000000  0.000000  0.005682  0.000000  0.068182  0.000000  0.000000  0.000000  0.000000  0.034091
       thy  0.000000  0.000000  0.017857  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.017857  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
     humor  0.000000  0.000000  0.000000  0.000000  0.000000  0.250000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.250000  0.000000  0.000000  0.000000  0.000000  0.000000
         i  0.000000  0.000000  0.000000  0.028302  0.013208  0.000000  0.090566  0.005660  0.000000  0.011321  0.000000  0.000000  0.000000  0.000000  0.094340  0.000000  0.001887  0.000000  0.003774
      will  0.000000  0.000000  0.000000  0.006135  0.000000  0.049080  0.000000  0.079755  0.006135  0.012270  0.000000  0.000000  0.000000  0.049080  0.000000  0.012270  0.000000  0.000000  0.030675
      stay  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.062500  0.000000  0.062500  0.062500  0.000000  0.000000  0.000000  0.000000  0.000000  0.187500  0.000000  0.062500
        at  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.067797  0.016949
      home  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.250000
      </s>  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000

P("<s> mark antony shall say i am not well and for thy humor i will stay at home </s>") without add-one smoothing is 3.0150263262415148e-24

The bigram counts for the sentence "<s> talke not of standing publius good cheere there is no harme intended to your person nor to no roman else so tell them publius </s>"
                 <s>     talke       not        of  standing   publius      good    cheere     there        is        no     harme  intended        to      your    person       nor        to        no     roman      else        so      tell      them   publius      </s>
       <s>         0         1         4         1         0         1        14         0         8         8        22         0         0         6         6         0         5         6        22         0         0        13         4         0         1         0
     talke         0         0         1         1         0         0         0         0         0         0         0         0         0         1         0         0         1         1         0         0         0         0         0         0         0         1
       not         0         1         0         5         0         0         0         0         0         0         0         0         0         6         2         0         0         6         0         0         0        10         0         0         0        16
        of         0         0         0         0         1         0         2         0         0         0         0         0         0         0        12         0         0         0         0         0         0         0         0         6         0         3
  standing         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         1
   publius         0         0         0         0         0         0         1         0         0         1         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         4
      good         0         0         0         1         0         0         0         1         0         1         0         0         0         3         0         0         0         3         0         0         0         0         0         0         0         3
    cheere         0         0         0         0         0         0         0         0         1         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0
     there         0         0         0         0         0         0         0         0         0        19         1         0         0         2         0         0         0         2         1         0         0         0         0         0         0         2
        is         0         0        16         0         0         0         1         0         1         0        14         0         0         2         2         0         0         2        14         0         0         1         0         0         0         2
        no         0         0         2         0         0         0         0         0         0         0         0         2         0         0         0         0         0         0         0         1         0         0         0         0         0         2
     harme         0         0         0         1         0         0         0         0         0         0         0         0         1         0         0         0         0         0         0         0         0         0         0         0         0         0
  intended         0         0         0         0         0         0         0         0         0         0         0         0         0         1         0         0         0         1         0         0         0         0         0         0         0         0
        to         0         0         0         0         0         0         0         0         0         0         1         0         0         0         6         0         0         0         1         0         0         0         3         2         0         0
      your         0         0         0         0         0         0         1         0         0         0         0         0         0         0         0         1         0         0         0         0         0         0         0         0         0         0
    person         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         1         0         0         0         0         0         0         0         0         0
       nor         0         1         0         0         0         0         0         0         0         0         2         0         0         1         0         0         0         1         2         0         0         0         0         0         0         0
        to         0         0         0         0         0         0         0         0         0         0         1         0         0         0         6         0         0         0         1         0         0         0         3         2         0         0
        no         0         0         2         0         0         0         0         0         0         0         0         2         0         0         0         0         0         0         0         1         0         0         0         0         0         2
     roman         0         0         0         1         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         1         0         1         0         0         2
      else         0         0         0         0         0         0         0         0         0         1         0         0         0         0         1         0         0         0         0         0         0         1         0         0         0         2
        so         0         0         0         0         0         0         4         0         0         2         1         0         0         3         0         0         0         3         1         0         0         0         1         0         0        19
      tell         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         6         0         0
      them         0         0         0         0         0         1         0         0         0         0         0         0         0         2         0         0         0         2         0         0         0         3         0         0         1        12
   publius         0         0         0         0         0         0         1         0         0         1         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         4
      </s>         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0

The bigram probabilities for the sentence "<s> talke not of standing publius good cheere there is no harme intended to your person nor to no roman else so tell them publius </s>"
                 <s>     talke       not        of  standing   publius      good    cheere     there        is        no     harme  intended        to      your    person       nor        to        no     roman      else        so      tell      them   publius      </s>
       <s>  0.000000  0.000462  0.001849  0.000462  0.000000  0.000462  0.006472  0.000000  0.003699  0.003699  0.010171  0.000000  0.000000  0.002774  0.002774  0.000000  0.002312  0.002774  0.010171  0.000000  0.000000  0.006010  0.001849  0.000000  0.000462  0.000000
     talke  0.000000  0.000000  0.125000  0.125000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.125000  0.000000  0.000000  0.125000  0.125000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.125000
       not  0.000000  0.003937  0.000000  0.019685  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.023622  0.007874  0.000000  0.000000  0.023622  0.000000  0.000000  0.000000  0.039370  0.000000  0.000000  0.000000  0.062992
        of  0.000000  0.000000  0.000000  0.000000  0.002825  0.000000  0.005650  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.033898  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.016949  0.000000  0.008475
  standing  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  1.000000
   publius  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.090909  0.000000  0.000000  0.090909  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.363636
      good  0.000000  0.000000  0.000000  0.014286  0.000000  0.000000  0.000000  0.014286  0.000000  0.014286  0.000000  0.000000  0.000000  0.042857  0.000000  0.000000  0.000000  0.042857  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.042857
    cheere  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  1.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
     there  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.395833  0.020833  0.000000  0.000000  0.041667  0.000000  0.000000  0.000000  0.041667  0.020833  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.041667
        is  0.000000  0.000000  0.064257  0.000000  0.000000  0.000000  0.004016  0.000000  0.004016  0.000000  0.056225  0.000000  0.000000  0.008032  0.008032  0.000000  0.000000  0.008032  0.056225  0.000000  0.000000  0.004016  0.000000  0.000000  0.000000  0.008032
